comparison,feature,left_group,right_group,left_n,left_mean,left_median,left_p25,left_p75,left_min,left_max,right_n,right_mean,right_median,right_p25,right_p75,right_min,right_max,mean_difference,relative_mean_difference
approve_vs_reject,confirmation_delay_hours,APPROVE,REJECT,8,39.375,41.0,34.25,48.0,14.0,60.0,73,26.506849315068493,24.0,16.0,32.0,1.0,96.0,12.868150684931507,0.48546511627906974
approve_vs_reject,hour_utc,APPROVE,REJECT,8,13.875,15.0,10.75,16.75,3.0,22.0,73,11.164383561643836,11.0,5.0,18.0,0.0,23.0,2.7106164383561637,0.24279141104294477
approve_vs_reject,d1_adx,APPROVE,REJECT,8,33.77347252637038,32.81335851011873,29.12997277147413,37.128971135421125,26.15303032362928,45.10611863623908,73,27.036018196573863,25.55210396015999,17.39302032065905,31.405186237325747,10.682968226541051,58.33667882703448,6.737454329796513,0.2492029070556816
approve_vs_reject,d1_close,APPROVE,REJECT,8,76030.175,67406.5,62446.274999999994,88725.875,59550.2,103005.8,73,83414.31643835615,78192.0,66937.1,91497.1,62255.3,123237.5,-7384.14143835615,-0.08852367020010399
approve_vs_reject,d1_disparity_20,APPROVE,REJECT,8,-5.899588716949893,-5.474207166145717,-8.372276627385034,-3.6002076290937155,-12.177635909361106,0.6166190995268606,73,0.19779672870454842,0.13409449083718883,-1.951909543257424,2.787225369325874,-12.696922386112686,15.041011801080572,-6.097385445654441,-30.8265231967622
approve_vs_reject,d1_ema_10,APPROVE,REJECT,8,78709.99349001591,70787.74877630491,64705.75385979499,92110.05704960789,61399.52832810417,105166.14366175319,73,83305.91732813056,77435.24424528968,67304.16720590704,91252.56554094674,61456.6310368178,120711.32607106204,-4595.923838114642,-0.05516923629820836
approve_vs_reject,d1_ema_55,APPROVE,REJECT,8,84052.48051747982,75251.31964971784,71800.62832390683,95883.18473035507,67680.79196103923,110982.19793080987,73,85852.18252143165,76569.14849567067,71056.05268138563,97406.3163998307,64670.49782926145,116153.43144534086,-1799.7020039518247,-0.020962798511296565
approve_vs_reject,d1_high,APPROVE,REJECT,8,78327.45,71392.25,64060.375,89366.35,60543.3,107473.7,73,84601.25890410958,78879.9,68639.1,92845.0,63450.0,124170.6,-6273.808904109581,-0.07415739417330147
approve_vs_reject,d1_low,APPROVE,REJECT,8,75022.01250000001,66931.5,61591.25,86100.025,58888.0,102400.0,73,82131.37808219178,77100.0,65505.0,90175.3,61520.0,121005.3,-7109.365582191764,-0.08656089485162621
approve_vs_reject,d1_market_atr,APPROVE,REJECT,8,2945.2560337091436,2641.727974284051,2251.336012326716,3725.18440331462,2145.8200481013537,4025.5001409262477,73,2753.856604438496,2565.7586721025773,2245.0318359952935,3319.5629242812706,1406.380621799326,4513.041072631294,191.3994292706475,0.06950232229309306
approve_vs_reject,d1_minus_di,APPROVE,REJECT,8,32.57320212012908,30.58358790686814,28.2515831516478,38.1794427539961,24.022129907549093,41.77606280770659,73,21.478128461626312,20.804648221312657,15.659281666255886,26.128301154191007,8.06922485916813,38.64138421635828,11.09507365850277,0.5165754399097517
approve_vs_reject,d1_open,APPROVE,REJECT,8,77896.375,71123.15,63757.05,89279.85,60000.4,105966.3,73,83485.1589041096,78104.3,66764.4,92034.7,62565.5,123237.4,-5588.783904109601,-0.06694344213357528
approve_vs_reject,d1_plus_di,APPROVE,REJECT,8,13.519443609676959,13.094405112081343,11.105533433906931,15.53562426234115,8.032480811594937,19.594557913167662,73,20.028880099328717,19.200897383762662,15.401093346239705,23.77746178499972,5.202642089275973,45.859731678637154,-6.509436489651758,-0.32500251923071455
