scope,baseline_trades,candidate_trades,trade_retention_pct,baseline_win_rate,candidate_win_rate,baseline_expectancy,candidate_expectancy,baseline_profit_factor,candidate_profit_factor,baseline_sum_net,candidate_sum_net,baseline_avg_loss,candidate_avg_loss,positive_pnl_retention_pct
ALL,100,49,49.0,51.0,65.3061224489796,-0.2509928072148069,0.817090538090039,0.8303556086609178,2.3835169771561957,-25.099280721480685,40.03743636641191,-3.0194350356204347,-1.70228725383064,56.145392831889374
LONG,50,23,46.0,50.0,65.21739130434783,-0.483678653085911,0.3643619671555969,0.6665821812534348,1.5688288352715791,-24.18393265429555,8.380325244578728,-2.901336556661724,-1.841574460746541,47.80386537176396
SHORT,50,26,52.0,52.0,65.38461538461539,-0.01830696134370285,1.2175811969935841,0.9878631479264256,3.2283873132963263,-0.9153480671851426,31.657111121833186,-3.142454284535758,-1.5784764032387282,61.55867179451052
FIRST_HALF,50,25,50.0,44.0,64.0,-0.514051058746753,0.6353315401870837,0.7182232483893236,1.786933600164513,-25.70255293733765,15.883288504677093,-3.257714889335284,-2.2426413530748555,55.05289828994869
SECOND_HALF,50,24,48.0,57.99999999999999,66.66666666666666,0.01206544431713927,1.0064228275722842,1.0106329143337782,3.758862507001562,0.6032722158569634,24.15414786173482,-2.7017285640006357,-1.0943888921808973,57.39362506022937
