trade_id,entry_signal_time,entry_time,signal,atr_expansion,pnl_bruto,pnl_neto,result,duration_hours,entry_allowed,experiment_id
1,2025-09-04 00:00:00+00:00,2025-09-04 04:00:00+00:00,SHORT,0.967519988126707,0.3566828762518353,0.0870925084312552,WIN,76.0,True,atr14_not_above_20bar_mean
2,2025-09-07 04:00:00+00:00,2025-09-07 08:00:00+00:00,LONG,0.8195656041265319,0.4801699563186168,0.2295881053392566,WIN,60.0,True,atr14_not_above_20bar_mean
3,2025-09-09 16:00:00+00:00,2025-09-09 20:00:00+00:00,SHORT,1.0396343616750878,-4.096459623309098,-4.472288400462221,LOSS,156.0,False,atr14_not_above_20bar_mean
4,2025-09-16 04:00:00+00:00,2025-09-16 08:00:00+00:00,LONG,1.0160582864358714,-0.1829888583187773,-0.4026428835023036,LOSS,36.0,False,atr14_not_above_20bar_mean
5,2025-09-17 16:00:00+00:00,2025-09-17 20:00:00+00:00,SHORT,1.1706348760441958,0.1007894452254785,-0.1891594038178317,LOSS,92.0,False,atr14_not_above_20bar_mean
6,2025-09-21 12:00:00+00:00,2025-09-21 16:00:00+00:00,LONG,0.7399966148728763,-2.091953823903842,-2.5389370153454096,LOSS,216.0,True,atr14_not_above_20bar_mean
7,2025-09-30 12:00:00+00:00,2025-09-30 16:00:00+00:00,SHORT,1.0472330365760385,-8.035617935985377,-8.466965081792235,LOSS,192.0,False,atr14_not_above_20bar_mean
8,2025-10-08 12:00:00+00:00,2025-10-08 16:00:00+00:00,LONG,1.0829078165116477,-8.576135110418289,-8.914046280905474,LOSS,136.0,False,atr14_not_above_20bar_mean
9,2025-10-14 04:00:00+00:00,2025-10-14 08:00:00+00:00,SHORT,0.8688346134467172,5.451026819456728,5.188573120359791,WIN,72.0,True,atr14_not_above_20bar_mean
10,2025-10-17 04:00:00+00:00,2025-10-17 08:00:00+00:00,LONG,1.0282759499863603,3.2457427331184565,2.951291568023197,WIN,92.0,False,atr14_not_above_20bar_mean
11,2025-10-21 00:00:00+00:00,2025-10-21 04:00:00+00:00,SHORT,0.9164399433221092,-0.774183960200022,-1.0253585598809196,LOSS,60.0,True,atr14_not_above_20bar_mean
12,2025-10-23 12:00:00+00:00,2025-10-23 16:00:00+00:00,LONG,0.9998111973968976,1.2390645340421904,0.9874209133178076,WIN,60.0,True,atr14_not_above_20bar_mean
13,2025-10-26 00:00:00+00:00,2025-10-26 04:00:00+00:00,SHORT,0.7466598657824902,1.8197987413013768,1.492258053154875,WIN,120.0,True,atr14_not_above_20bar_mean
