trade_id,entry_signal_time,entry_signal_sqzmom,entry_signal_previous_color,entry_signal_current_color,entry_signal_ha_open,entry_signal_ha_high,entry_signal_ha_low,entry_signal_ha_close,entry_time,exit_signal_time,exit_signal_sqzmom,exit_signal_previous_color,exit_signal_current_color,exit_signal_ha_open,exit_signal_ha_high,exit_signal_ha_low,exit_signal_ha_close,exit_time,signal,entry_reference_price,entry_price,exit_reference_price,exit_price,pnl_bruto,commission_pct,funding_cycles,funding_cost_pct,total_fees,slippage_cost,pnl_neto,pnl_pct,max_favorable_pct,max_adverse_pct,duration_candles,duration_hours,result,sqzmom,sqzmom_abs_pct_price,sqzmom_delta,sqzmom_delta_pct_price,sqzmom_acceleration,sqzmom_accel_pct_price,sqzmom_slope3_pct_price,sqzmom_slope6_pct_price,sqzmom_recent_extreme,reversal_retracement,prior_impulse_bars,prior_impulse_amplitude_pct_price,return_3,return_6,return_12,return_24,distance_sma20,distance_sma50,sma20_slope5,range_position20,range_position50,atr_pct,ha_atr_pct,range_pct,realized_vol12,realized_vol24,atr_expansion,squeeze_state,previous_squeeze_state,bars_since_release,squeeze_on_last6,trend_regime,with_trend,exit_month,entry_month,outcome_return_1bar,outcome_return_2bar,outcome_return_3bar,outcome_return_6bar,outcome_return_12bar,outcome_return_18bar,outcome_mfe_to_net_giveback,duration_bucket,volatility_regime,atr_change_1,atr_direction_1,atr_rank_band_1,atr_change_2,atr_direction_2,atr_rank_band_2,atr_change_3,atr_direction_3,atr_rank_band_3
1,2025-09-04 00:00:00+00:00,2510.572105817522,dark_green,light_green,111828.0708152546,112136.8,111081.1,111496.175,2025-09-04 04:00:00+00:00,2025-09-07 04:00:00+00:00,-830.0225267857161,dark_red,light_red,110318.41121081507,110880.8,110318.41121081507,110646.45,2025-09-07 08:00:00+00:00,SHORT,111107.1,111051.54645,110710.8,110766.1554,0.3566828762518353,0.0798972041149815,9.0,0.09,0.1698972041149815,0.0996931637055985,0.0870925084312552,0.0870925084312552,1.605062249900801,-2.064584981742948,19.0,76.0,WIN,2510.572105817522,2.259596466668216,-28.382839266096653,-0.0255454775312258,-93.0405178571432,-0.0837394890669841,0.0163242670022662,0.1154462474231078,2538.9549450836184,0.0111789456213299,6,0.939883262034561,-0.0094634327253795,0.0010397173842728,0.0074451879658343,0.0176935463483534,0.0080301573188656,,0.006689817433237,0.7309229412537306,,1.0258881026094666,1.1129919026324189,0.950164300931261,1.6046345223140115,2.8280956352016684,0.967519988126707,OFF,OFF,5,0,RANGE,False,2025-09,2025-09,0.5711279763992883,0.2590206613012125,1.4439658890495477,-0.193922153166004,0.0158002752423724,0.4247995323616749,1.5179697414695457,3-5d,LOW,-0.005645860585753115,CONTRACTING,MIDDLE_THIRD,-0.03730753510049989,CONTRACTING,LOWER_THIRD,-0.05383138957829381,CONTRACTING,LOWER_THIRD
2,2025-09-07 04:00:00+00:00,-830.0225267857161,dark_red,light_red,110318.41121081507,110880.8,110318.41121081507,110646.45,2025-09-07 08:00:00+00:00,2025-09-09 16:00:00+00:00,907.4819374999996,dark_green,light_green,112062.81640354038,112062.81640354038,110738.6,111038.25,2025-09-09 20:00:00+00:00,LONG,110710.8,110766.1554,111242.4,111186.7788,0.4801699563186168,0.0801518960005359,7.0,0.0699999999999999,0.1501518960005359,0.1004299549788242,0.2295881053392566,0.2295881053392566,2.2315883322605568,-0.1802494627343573,15.0,60.0,WIN,-830.0225267857161,0.7497213702599169,63.30206249999969,0.057177856631873,65.70560714285693,0.0593488685321187,0.0275034223658135,-0.0889370818808449,-893.3245892857158,0.0708612113214243,10,1.445445516284641,0.0065835232805422,-0.0006237593642889,-0.0193914797241101,-0.0029781658208867,-0.0006962851732777,0.0055989046199556,-0.0029988433797609,0.3537740478994891,0.5705876597965043,0.8699915099032054,0.9907015152349208,0.4212777795842941,2.09353735524094,3.3042850790310574,0.8195656041265319,ON,ON,24,6,RANGE,False,2025-09,2025-09,0.436364879014306,0.4604697149215964,0.4070237866177661,0.4245381617713706,1.9716713937694363,,2.0020002269213,48-72h,LOW,-0.03816046146102503,CONTRACTING,LOWER_THIRD,-0.06835321488541124,CONTRACTING,LOWER_THIRD,-0.1200221187790601,CONTRACTING,LOWER_THIRD
3,2025-09-09 16:00:00+00:00,907.4819374999996,dark_green,light_green,112062.81640354038,112062.81640354038,110738.6,111038.25,2025-09-09 20:00:00+00:00,2025-09-16 04:00:00+00:00,-760.4043132741758,dark_red,light_red,115211.66314684888,115968.0,114867.0,115471.3,2025-09-16 08:00:00+00:00,SHORT,111242.4,111186.7788,115799.4,115857.2997,-4.096459623309098,0.0816802432628797,19.0,0.19,0.2716802432628797,0.1041485338902434,-4.472288400462221,-4.472288400462221,0.2976781984082419,-5.012395592487471,39.0,156.0,LOSS,907.4819374999996,0.8157705634457393,-143.3400178571411,-0.1288538782973213,-145.24400892857,-0.130565449409595,-0.0635711535925235,0.0857705432196208,1050.8219553571407,0.1364075209186359,9,1.4803353965687007,-0.0151199511996891,-0.0072172492882705,0.0002274832085022,-0.0027592982883923,-0.0007578597293891,0.0021921463886684,0.0019646132017847,0.4109504132231413,0.6463839308244875,0.8646670979019428,0.9974543954355488,0.5424195652193402,2.2844894954063326,2.5735969413874686,1.0396343616750878,OFF,OFF,5,0,UP,False,2025-09,2025-09,-0.2816172960305119,-0.2807179085216882,-1.1811846823644112,-2.103146817668211,-2.863399078883999,-4.833597355731656,4.769966598870464,>5d,LOW,-0.027869045025452066,CONTRACTING,LOWER_THIRD,0.07175442341158877,EXPANDING,UPPER_THIRD,0.061457768325051454,EXPANDING,UPPER_THIRD
4,2025-09-16 04:00:00+00:00,-760.4043132741758,dark_red,light_red,115211.66314684888,115968.0,114867.0,115471.3,2025-09-16 08:00:00+00:00,2025-09-17 16:00:00+00:00,540.5760787339841,dark_green,light_green,116293.83899052118,116316.0,114623.3,115588.0,2025-09-17 20:00:00+00:00,LONG,115799.4,115857.2997,115587.5,115529.70625,-0.1829888583187773,0.0798868976056413,4.0,0.04,0.1198868976056413,0.099767127577885,-0.4026428835023036,-0.4026428835023036,1.2162378232953115,-1.0852140549241445,9.0,36.0,LOSS,-760.4043132741758,0.6566565226367114,67.71768589338558,0.0584784428014183,110.93058928571465,0.0957954784616454,0.0105807035705955,-0.0965310999148324,-828.1219991675614,0.0817725962617298,19,2.8220171440376287,0.004795798925262,0.0002582718246169,0.000461355036027,0.0065224382654347,0.0023660896236783,0.0142863586974848,-0.0004890010453564,0.6033286528454603,0.8449155552685115,0.6786076836316698,0.7419759322472079,0.9507821284048104,1.2810568710954493,1.94754908733948,1.0160582864358714,ON,ON,31,6,RANGE,False,2025-09,2025-09,-0.5481740914422439,0.0177807527478535,0.777422141144557,1.0903070443303298,,,1.6188807067976154,24-48h,LOW,0.03183429065711718,EXPANDING,UPPER_THIRD,0.015345624341304376,EXPANDING,MIDDLE_THIRD,-0.020231781204817945,CONTRACTING,MIDDLE_THIRD
5,2025-09-17 16:00:00+00:00,540.5760787339841,dark_green,light_green,116293.83899052118,116316.0,114623.3,115588.0,2025-09-17 20:00:00+00:00,2025-09-21 12:00:00+00:00,-1227.1861517857128,dark_red,light_red,115624.47037296164,115703.9,115413.0,115536.825,2025-09-21 16:00:00+00:00,SHORT,115587.5,115529.70625,115471.0,115528.7355,0.1007894452254785,0.0799996638959687,11.0,0.11,0.1899996638959687,0.0999491851473415,-0.1891594038178317,-0.1891594038178317,0.4153098502317093,-2.0302083560434863,23.0,92.0,LOSS,540.5760787339841,0.4676765316815852,-13.581889610325902,-0.0117502998680878,-51.68846428570987,-0.0447180011400097,0.010608700701917,0.1209457566538212,839.8322303903219,0.3563284913669662,9,1.1958721934808505,-0.0130882296438282,-0.010024152520598,0.0029580022681778,-0.001415101674796,-0.001049399560665,0.0057793793003748,0.0010023516962422,0.4266197616038827,0.7437533389300178,0.8038418698926504,0.8842839348486163,1.4644304406354982,1.7298311188555606,2.0648873381763893,1.1706348760441958,ON,ON,40,6,UP,False,2025-09,2025-09,-0.7554712794918039,-1.7324494408986535,-1.3017377078287096,-1.6214823103127165,0.3871785573764552,-0.0925249041737297,0.6044692540495411,3-5d,LOW,0.0674802906781633,EXPANDING,UPPER_THIRD,0.09482297095612613,EXPANDING,UPPER_THIRD,0.10594303250713799,EXPANDING,UPPER_THIRD
6,2025-09-21 12:00:00+00:00,-1227.1861517857128,dark_red,light_red,115624.47037296164,115703.9,115413.0,115536.825,2025-09-21 16:00:00+00:00,2025-09-30 12:00:00+00:00,3237.271016896474,dark_green,light_green,113613.95434688876,113623.8,112800.1,113120.75,2025-09-30 16:00:00+00:00,LONG,115471.0,115528.7355,113055.4,112998.8723,-2.091953823903842,0.0791240748237913,27.0,0.27,0.3491240748237914,0.097859116617776,-2.5389370153454096,-2.5389370153454096,0.0789972292218196,-6.026842992668257,54.0,216.0,LOSS,-1227.1861517857128,1.0627647539390486,0.2187857142910161,0.0001894722699368,49.57874107143539,0.0429360602535486,-0.0212785578568376,-0.0965689838038627,-1227.4049375000038,0.0001782506388939,16,2.1991174167636616,-0.0012342817206941,-0.0039455353946613,-0.0030718252841092,-0.0030563323493785,-0.0055443367809534,-0.0041844551905987,-0.0018644948095868,0.1490815134676003,0.3202420335340873,0.5363592186879257,0.5927750730516206,0.2519245075174603,1.0128691124826827,1.8592926087919963,0.7399966148728763,OFF,OFF,5,0,RANGE,False,2025-09,2025-09,-0.0759425779398359,-0.2984846138128105,-0.8013897979520457,-2.3890467493258405,-2.3371981769851446,-1.929247723827121,2.617934244567229,>5d,LOW,-0.03919396627808558,CONTRACTING,LOWER_THIRD,-0.055381760796468726,CONTRACTING,LOWER_THIRD,-0.08883642021736371,CONTRACTING,LOWER_THIRD
7,2025-09-30 12:00:00+00:00,3237.271016896474,dark_green,light_green,113613.95434688876,113623.8,112800.1,113120.75,2025-09-30 16:00:00+00:00,2025-10-08 12:00:00+00:00,-1547.802055768463,dark_red,light_red,121929.78055024696,123312.9,121607.8,122471.65,2025-10-08 16:00:00+00:00,SHORT,113055.4,112998.8723,122140.1,122201.17005,-8.035617935985377,0.0832574830395011,24.0,0.24,0.3232574830395011,0.1080896627673571,-8.466965081792235,-8.466965081792235,0.2259069447368253,-11.69005268028679,48.0,192.0,LOSS,3237.271016896474,2.8634377631643195,-48.17117019382613,-0.0426084646941465,-86.93883928571267,-0.0768993248316424,-0.0041588022783249,0.1862397039912927,3285.4421870903,0.0146620051276836,17,5.012588256964749,-0.0110749071696925,-0.0061238483718968,0.0278698063460314,0.037433930406695,0.0139172667782176,0.0145298138706242,0.0098541853536533,0.6980668385801554,0.7201475777991649,0.7523631240580284,0.9874346532510618,0.7285808550498225,2.4400364485020383,2.5497286285673737,1.0472330365760385,OFF,OFF,9,0,UP,False,2025-10,2025-09,-1.1595051112735844,-0.8760509550677975,-1.0062292453514976,-3.8651073334649455,-6.085217984958602,-8.176743282419462,8.692872026529061,>5d,LOW,-0.002425647612633419,CONTRACTING,MIDDLE_THIRD,0.01890421065474923,EXPANDING,MIDDLE_THIRD,0.01469621127870191,EXPANDING,MIDDLE_THIRD
8,2025-10-08 12:00:00+00:00,-1547.802055768463,dark_red,light_red,121929.78055024696,123312.9,121607.8,122471.65,2025-10-08 16:00:00+00:00,2025-10-14 04:00:00+00:00,3196.543533042104,dark_green,light_green,114679.75614006404,114679.75614006404,111302.0,112521.5,2025-10-14 08:00:00+00:00,LONG,122140.1,122201.17005,111665.2,111609.3674,-8.576135110418289,0.076532994685512,17.0,0.17,0.246532994685512,0.0913781758016725,-8.914046280905474,-8.914046280905474,1.6116293724472444,-16.926736496497234,34.0,136.0,LOSS,-1547.802055768463,1.267234966868754,10.670094640321622,0.0087359471953286,168.640438139887,0.1380713116657731,-0.060299708637558,-0.2597825746047211,-1558.4721504087847,0.0068465096649451,9,2.084168284605319,0.0066511116916982,0.0028886190216959,-0.0224584661238196,0.003246955927481,-0.0082736090813285,0.0108997984094967,-0.0021467860777685,0.2853052261747924,0.7007032928228824,1.121079874876632,1.2863067408964055,1.3960198165876654,2.704494464916364,3.5540457192792627,1.0829078165116477,ON,ON,9,6,RANGE,False,2025-10,2025-10,0.9661363712941018,0.8480523955507024,-0.1741145767368279,-0.917969974870958,-2.647986143402725,-8.557013034917338,10.525675653352716,>5d,LOW,0.019227781599278737,EXPANDING,UPPER_THIRD,0.03934488658494195,EXPANDING,UPPER_THIRD,0.013153510952094605,EXPANDING,MIDDLE_THIRD
9,2025-10-14 04:00:00+00:00,3196.543533042104,dark_green,light_green,114679.75614006404,114679.75614006404,111302.0,112521.5,2025-10-14 08:00:00+00:00,2025-10-17 04:00:00+00:00,-3485.1204548855894,dark_red,light_red,108645.60920450646,109182.9,105457.4,107335.125,2025-10-17 08:00:00+00:00,SHORT,111665.2,111609.3674,105578.3,105631.08915,5.451026819456728,0.0778574277807438,9.0,0.09,0.1678574277807438,0.0945962713161936,5.188573120359791,5.188573120359791,5.51205292469027,-1.7621572864501365,18.0,72.0,WIN,3196.543533042104,2.8626138967575434,-142.1937631570736,-0.127339370866728,-791.9215256854031,-0.7091927706083929,0.2272570144374688,0.6478385725395915,3338.7372961991778,0.0425890839985964,12,7.583443658670776,-0.0350947837402982,-0.0318748553211891,0.0018050671068685,-0.0762775869185953,-0.0113393196195737,-0.0566056067324167,-0.0089758697328831,0.3375760411792227,0.4110116636967437,1.733648892189429,2.0829025225363376,2.127699587696072,3.418819730651042,6.058078343924458,0.8688346134467172,OFF,ON,0,2,DOWN,True,2025-10,2025-10,0.32969221900635,-1.087393135784409,-0.8373245201280355,-0.8197632701572033,0.9776665036451138,5.4037286837986365,0.3234798043304794,3-5d,HIGH,0.017795413719879916,EXPANDING,UPPER_THIRD,0.02808879377684459,EXPANDING,UPPER_THIRD,-0.012094763809603948,CONTRACTING,MIDDLE_THIRD
10,2025-10-17 04:00:00+00:00,-3485.1204548855894,dark_red,light_red,108645.60920450646,109182.9,105457.4,107335.125,2025-10-17 08:00:00+00:00,2025-10-21 00:00:00+00:00,3342.538557493926,dark_green,light_green,110706.54317826442,110706.54317826442,109005.0,109741.55,2025-10-21 04:00:00+00:00,LONG,105578.3,105631.08915,109005.1,108950.59745000002,3.2457427331184565,0.0812570194349832,11.0,0.11,0.1912570194349833,0.1031941456602765,2.951291568023197,2.951291568023197,5.69804865067038,-2.0458836194817365,23.0,92.0,WIN,-3485.1204548855894,3.300981787815857,29.53328038546624,0.0279728697899722,84.82352568539591,0.0803418180491596,-0.0121980392346081,-0.1978888248738765,-3514.653735271056,0.0084028990079697,18,6.491287538698988,-0.0237907450026028,-0.0446976154153795,-0.0617288887822452,-0.0846476166035353,-0.047263029934633,-0.0725434660232449,-0.0155969234147592,0.0122086682554437,0.1827696682805666,1.8384278185780552,2.104291114638178,3.528660719106104,4.4237335947639576,5.508544497922985,1.0282759499863603,OFF,OFF,7,0,DOWN,False,2025-10,2025-10,-0.0194915627261593,1.0593574855703336,0.7434467033515357,0.9629843431373964,1.0434530769959371,5.202171911904396,2.746757082647183,3-5d,HIGH,0.0761046369406373,EXPANDING,UPPER_THIRD,0.054099047323252325,EXPANDING,UPPER_THIRD,0.02245029611359106,EXPANDING,UPPER_THIRD
