window,scope,worst_trades_removed,expanding_n,contracting_n,expectancy_difference_exp_minus_con,mae_difference_exp_minus_con,large_loss_rate_difference,expanding_profit_factor,contracting_profit_factor
1,ALL,0,45,55,-0.5108067014960773,-0.5489439009788661,4.646464646464647,0.716957274422001,0.9816644014628422
1,ALL,1,44,55,0.02292722955590579,-0.03158172131052517,2.7272727272727266,1.0013060501752533,0.9816644014628422
1,ALL,2,44,54,-0.26573275530980545,-0.37529340265081945,4.377104377104375,1.0013060501752533,1.3024030027057378
1,LONG,0,22,28,-0.7232754875975926,-0.058276607510461265,2.9220779220779214,0.4162976340827555,0.8813382914858333
1,LONG,1,22,27,-1.2952507296622964,-0.7377453308338677,6.228956228956228,0.4162976340827555,1.4685082144749557
1,LONG,2,22,26,-1.7157839467707439,-1.5454335246793915,9.790209790209788,0.4162976340827555,2.666792178553601
1,SHORT,0,23,27,-0.3191946618918413,-1.0355705281164318,6.280193236714975,0.9141365483566855,1.142544107161512
1,SHORT,1,22,27,0.7637852190426854,-0.012841474467772063,2.525252525252524,1.7254920746312472,1.142544107161512
1,SHORT,2,22,26,0.4331895396227323,-0.34985943115483265,5.944055944055942,1.7254920746312472,1.7518400317441314
1,FIRST_HALF,0,22,28,0.5669466872485988,0.8779861212497186,-7.792207792207792,0.8735310225381342,0.6250957322733044
1,FIRST_HALF,1,22,27,0.01712219194660461,0.24485263419313075,-4.882154882154884,0.8735310225381342,0.8606897596739347
1,FIRST_HALF,2,22,26,-0.37955637480200144,-0.5129360744419746,-1.7482517482517501,0.8735310225381342,1.1540414210193262
1,SECOND_HALF,0,23,27,-1.6014740177506113,-2.0318549562062076,17.391304347826086,0.6106862452442091,4.1794185605556855
1,SECOND_HALF,1,22,27,-0.5485877025662159,-0.9954394394947694,13.636363636363635,1.1670391303174037,4.1794185605556855
1,SECOND_HALF,2,21,27,-0.20703297403200438,-0.7697048059004759,9.523809523809524,1.5867155634047767,4.1794185605556855
2,ALL,0,45,55,-0.06223620802065502,-0.10038285323417595,12.727272727272727,0.8431754257194827,0.8144846601250083
2,ALL,1,45,54,-0.5028518181265695,-0.528364840917523,14.444444444444445,0.8431754257194827,1.279191271359045
2,ALL,2,44,54,-0.15458940329330093,-0.11340585301623518,12.626262626262628,1.0418777232975334,1.279191271359045
2,LONG,0,22,28,-0.6309360797989292,-1.109148024306148,2.9220779220779214,0.5749472342769127,0.8024800902886926
2,LONG,1,21,28,0.07248135432091204,-0.2663436943625319,-1.1904761904761898,0.898773575338119,0.8024800902886926
2,LONG,2,21,27,-0.3097874998762554,-1.0360773143643947,2.116402116402117,0.898773575338119,1.254623735532201
2,SHORT,0,23,27,0.4830998799307967,0.9007114192751873,22.383252818035427,1.144829803853658,0.8239886122616916
2,SHORT,1,23,26,-0.4313499875004735,0.029752957252618284,26.08695652173913,1.144829803853658,2.3602522284954923
2,SHORT,2,22,26,-0.03546216679087533,0.428502438949828,22.727272727272727,1.4673528614652842,2.3602522284954923
2,FIRST_HALF,0,23,27,-1.1307629406938637,-0.6328024516109343,23.02737520128825,0.5774899422364614,1.0054911467090795
2,FIRST_HALF,1,22,27,-0.4723944894407487,0.14625230838942294,19.86531986531986,0.7751025249852653,1.0054911467090795
2,FIRST_HALF,2,22,26,-0.8775262484896073,-0.613239074631617,23.426573426573423,0.7751025249852653,1.549269727687272
2,SECOND_HALF,0,22,28,1.0362652456524777,0.5038489305616585,1.9480519480519494,1.6320071257249984,0.655859362992612
2,SECOND_HALF,1,22,27,0.1632156828541465,-0.3730640144218931,5.387205387205388,1.6320071257249984,1.9576505243091775
2,SECOND_HALF,2,21,27,0.523447468148659,-0.1309988303154832,1.0582010582010586,2.465774202490606,1.9576505243091775
3,ALL,0,45,55,0.17997639263982967,0.1533376826991164,8.686868686868687,0.9142200827357807,0.7323129970471639
3,ALL,1,45,54,-0.25862077912724746,-0.2725299671847865,10.370370370370372,0.9142200827357807,1.130270978216868
3,ALL,2,44,54,0.09266929321427693,0.1456005274156671,8.501683501683502,1.1367233602105076,1.130270978216868
3,LONG,0,22,28,-0.7854189497061841,-1.3253817129382468,11.038961038961041,0.5675277912771446,0.8486874403044745
3,LONG,1,21,28,-0.08612105878386939,-0.4883436146914861,7.142857142857142,0.8499067347570357,0.8486874403044745
3,LONG,2,21,27,-0.4709074116017473,-1.2616010429525395,10.582010582010582,0.8499067347570357,1.443257496324824
3,SHORT,0,23,27,1.1190089639569136,1.6208066131798935,6.280193236714975,1.4113545716197837,0.6625969248083059
3,SHORT,1,23,26,0.21580979570456693,0.7625882968956375,9.698996655518393,1.4113545716197837,1.5162979954288387
3,SHORT,2,22,26,0.6273062939311698,1.1790128424432362,5.944055944055942,1.903208632468136,1.5162979954288387
3,FIRST_HALF,0,21,29,-0.992581750744697,-0.49676293689657136,18.226600985221673,0.5914793752675813,0.9199421926782152
3,FIRST_HALF,1,20,29,-0.26663072573913266,0.36287684012731614,14.655172413793103,0.8199456802936085,0.9199421926782152
3,FIRST_HALF,2,20,28,-0.6391364085199869,-0.33942056216920413,17.857142857142858,0.8199456802936085,1.3125024418631068
3,SECOND_HALF,0,24,26,1.2624107922524326,0.5887993781274345,0.6410256410256396,1.6763116091006003,0.5322671627320827
3,SECOND_HALF,1,24,25,0.32551728331799795,-0.3558293955726388,4.333333333333332,1.6763116091006003,1.9531426099246547
3,SECOND_HALF,2,23,25,0.6577352209523737,-0.133768998105406,0.3478260869565215,2.374066314008904,1.9531426099246547
