duration_bucket,trades,wins,losses,win_rate,expectancy,sum_net,sum_gross,profit_factor,mean,median,std,skew,p05,p25,p75,p95,best,worst,avg_win,avg_loss,payoff_ratio,mfe_mean,mae_mean,duration_mean_h,duration_median_h
<24h,2,1,1,50.0,-1.426338237323937,-2.852676474647874,-2.466306995920162,0.020108165899972903,-1.426338237323937,-1.426338237323937,2.09993382151965,,-2.7627279380395104,-2.1687769599437,-0.683899514704174,-0.08994853660836376,0.05853920791558896,-2.911215682563463,0.05853920791558896,-2.911215682563463,0.020108165899972903,1.4022623799131622,-2.260423600565547,16.0,16.0
24-48h,11,3,8,27.27272727272727,-0.8494179536086903,-9.343597489695593,-6.892769707432382,0.1324550211405556,-0.8494179536086903,-0.646595694296525,1.1418171956586076,-0.3238607149382845,-2.573506097060175,-1.5717580514477105,-0.07190176217975608,0.583861149195284,0.8002147335185305,-2.8248497017627363,0.47552055251111974,-1.346269893403619,0.3532133897081483,2.145510918759686,-1.5406599808276082,36.72727272727273,36.0
48-72h,41,28,13,68.29268292682927,1.3536628261244656,55.500175871103096,65.86703503440812,4.792751539616147,1.3536628261244656,0.9874209133178076,2.31515688893608,0.34331094491453806,-1.7426502691181383,-0.5070686981958814,2.966815210775611,5.546806500980475,6.63919893652782,-3.270540060525101,2.5047642153420924,-1.1256324737288848,2.22520607196464,3.9003652212287276,-1.3044640396121876,60.68292682926829,60.0
3-5d,24,13,11,54.166666666666664,1.2597800410414866,30.234720984995676,37.1017623466702,2.9850781659262733,1.2597800410414866,0.18901824605574846,3.91520887005128,1.7838728007009357,-2.64500531634161,-0.8256113848843812,2.7657980062369303,9.913788730016382,13.120472163727344,-4.060230794942054,3.4973629759801828,-1.3846361547951538,2.525835371168385,3.654627904613528,-2.8440355566653888,88.16666666666667,88.0
>5d,22,6,16,27.27272727272727,-4.483541073328909,-98.63790361323599,-90.25207193938797,0.055253323997143125,-4.483541073328909,-2.8449763821859886,6.282350920752786,-1.6858455307648876,-15.354696817640367,-6.834363230907623,0.021048908896674046,1.4835930606678707,2.280890492249666,-24.016229459324894,0.9614697401917828,-6.525420128399168,0.147342197325715,1.4247722566669196,-8.93300274600813,161.63636363636363,152.0
