exit_month,signal,trades,wins,losses,win_rate,expectancy,sum_net,sum_gross,profit_factor,mean,median,std,skew,p05,p25,p75,p95,best,worst,avg_win,avg_loss,payoff_ratio,mfe_mean,mae_mean,duration_mean_h,duration_median_h
2025-09,LONG,3,1,2,33.33333333333333,-0.9039972645028188,-2.7119917935084565,-1.7947727259040027,0.07804925014248017,-0.9039972645028188,-0.4026428835023036,1.4507584214736853,-1.3693927133046626,-2.325307602161099,-1.4707899494238568,-0.08652738908152346,0.16636500645510058,0.22958810533925667,-2.5389370153454096,0.22958810533925667,-1.4707899494238565,0.15609850028496033,1.175607794925896,-2.430768836775586,104.0,60.0
2025-09,SHORT,3,1,2,33.33333333333333,-1.5247850986162659,-4.574355295848798,-3.638987301831784,0.018683574736434585,-1.5247850986162659,-0.18915940381783178,2.5563471136662814,-1.709323127843121,-4.0439755007977825,-2.3307239021400266,-0.05103344769328827,0.059467317206346536,0.08709250843125527,-4.472288400462221,0.08709250843125527,-2.3307239021400266,0.03736714947286917,0.7726834328469173,-3.035729643424635,108.0,92.0
2025-10,LONG,3,2,1,66.66666666666666,-1.6584445998548232,-4.97533379956447,-4.091327843257641,0.4418546143043938,-1.6584445998548232,0.9874209133178076,6.359796679348485,-1.5481038373725902,-7.923899561483146,-3.9633126837938333,1.969356240670502,2.7549045025526575,2.951291568023197,-8.914046280905474,1.969356240670502,-8.914046280905474,0.2209273071521969,3.098372377570039,-6.519505918686078,96.0,92.0
2025-10,SHORT,4,2,2,50.0,-0.7028731170396225,-2.81149246815849,-1.5389763354272934,0.7038140950214247,-0.7028731170396225,0.2334497466369777,5.77098664356185,-0.8775549510020453,-7.350724103505538,-2.8857601903587486,2.416336819956104,4.634125860279052,5.1885731203597905,-8.466965081792235,3.3404155867573326,-4.746161820836577,0.7038140950214247,3.143190547955474,-5.683254497846641,111.0,96.0
2025-11,LONG,3,0,3,0.0,-6.37400104201573,-19.12200312604719,-18.087579331492698,0.0,-6.37400104201573,-2.054089972382665,8.003074046663256,-1.7212885318398055,-14.253301074099241,-8.831429473336318,-1.7566170758786104,-1.518638758675367,-1.4591441793745559,-15.608768974289971,,-6.37400104201573,,1.0210853761884462,-9.113966479479911,141.33333333333334,72.0
2025-11,SHORT,2,1,1,50.0,1.1290997444900173,2.2581994889800345,2.8344088543848156,2.6053349130990853,1.1290997444900173,1.1290997444900173,3.586140249057651,,-1.1531059350651942,-0.13879229970732254,2.396991788687357,3.4113054240452283,3.6648838328846964,-1.4066843439046621,3.6648838328846964,-1.4066843439046621,2.6053349130990853,4.65969486046152,-3.017895060236135,90.0,90.0
2025-12,LONG,5,2,3,40.0,0.2440592896954552,1.220296448477276,2.6235172375117393,1.1438324822366897,0.2440592896954552,-0.4278583764946643,4.698588535120155,0.3846918089013051,-4.698304413814548,-2.911215682563463,3.0652481676349033,5.924408782749236,6.63919893652782,-5.1450765966273195,4.8522235520813615,-2.8280502185618155,1.7157487233550346,3.393578669558714,-3.223453886531813,82.4,60.0
2025-12,SHORT,6,3,3,50.0,-0.23123006160345713,-1.3873803696207427,0.22284771305269047,0.754334778989187,-0.23123006160345713,-0.2690168317037769,2.3995003885164814,0.8072200158455312,-2.8854818942189393,-1.4593794700494724,0.24534849548242404,2.9681535703691537,3.8605567659321247,-3.270540060525101,1.4200209268337793,-1.8824810500406937,0.754334778989187,2.5910342101805544,-2.8703477823030226,72.66666666666667,62.0
2026-01,LONG,4,1,3,25.0,-1.3055983693428626,-5.22239347737145,-4.028389418909327,0.30398562835745124,-1.3055983693428626,-0.5416557869486691,3.660115349177491,-1.1794338815688319,-5.543412967720429,-2.037175255707037,0.1899210994155054,1.8626966136828327,2.280890492249666,-6.419972395723778,2.280890492249666,-2.501094656540372,0.9119568850723536,1.741893654702488,-3.3166255282201758,98.0,94.0
2026-01,SHORT,3,1,2,33.33333333333333,-1.400231941090001,-4.200695823270003,-3.265850556687279,0.15970696307885826,-1.400231941090001,-0.19743727013090054,2.987496663975188,-1.5180694815700289,-4.341226155643573,-2.49954220652683,0.3004756598263781,0.6988060037922008,0.7983885897836567,-4.801647142922759,0.7983885897836567,-2.49954220652683,0.3194139261577165,2.229404978568234,-3.949575409550192,105.33333333333333,108.0
