exit_month,trades,wins,losses,win_rate,expectancy,sum_net,sum_gross,profit_factor,mean,median,std,skew,p05,p25,p75,p95,best,worst,avg_win,avg_loss,payoff_ratio,mfe_mean,mae_mean,duration_mean_h,duration_median_h
2025-09,6,2,4,33.33333333333333,-1.2143911815595425,-7.286347089357255,-5.4337600277357865,0.04165190844171651,-1.2143911815595425,-0.2959011436600677,1.8898300150293088,-1.3367734043779387,-3.9889505541830186,-2.004863482384633,0.0180295303689835,0.19396420611225632,0.22958810533925667,-4.472288400462221,0.15834030688525597,-1.9007569257819417,0.08330381688343302,0.9741456138864067,-2.7332492401001107,106.0,84.0
2025-10,7,4,3,57.14285714285714,-1.112403752531851,-7.786826267722957,-5.6303041786849315,0.5769493767388073,-1.112403752531851,0.9874209133178076,5.513199786456048,-0.735826522126931,-8.779921921171502,-4.746161820836578,2.221774810589036,4.517388654658811,5.1885731203597905,-8.914046280905474,2.6548859137139176,-6.135456640859544,0.4327120325541055,3.12398276064743,-6.041647963920686,104.57142857142857,92.0
2025-11,5,1,4,20.0,-3.3727607274134312,-16.863803637067157,-15.253170477107883,0.17852499524136853,-3.3727607274134312,-1.4591441793745559,7.2200175895495065,-1.6235251544515286,-12.89783317390851,-2.054089972382665,-1.4066843439046621,2.650570197526824,3.6648838328846964,-15.608768974289971,3.6648838328846964,-5.132171867487964,0.7140999809654741,2.4765291698976757,-6.675537911782401,120.8,72.0
2025-12,11,5,6,45.45454545454545,-0.015189447376678792,-0.1670839211434667,2.84636495056443,0.9881765692221636,-0.015189447376678792,-0.4278583764946643,3.430904228949627,0.5538035038892255,-4.20780832857621,-2.3207615389319587,1.6780960756575725,5.249877851229972,6.63919893652782,-5.1450765966273195,2.792901976932812,-2.355265634301255,1.1858118830665962,2.9558271462615364,-3.0308505569524726,77.0909090909091,60.0
2026-01,7,2,5,28.57142857142857,-1.3461556143773505,-9.423089300641454,-7.294239975596605,0.24629566077259812,-1.3461556143773505,-0.5070686981958814,3.110599032614434,-0.8662476209248845,-5.934474819883472,-2.688945009312108,0.3004756598263781,1.836139921509862,2.280890492249666,-6.419972395723778,1.5396395410166612,-2.5004736765349547,0.6157391519314953,1.9508270792163793,-3.5878897630758972,101.14285714285714,108.0
2026-02,8,6,2,75.0,2.0814766695751246,16.651813356600996,18.923955174233054,2.5162841665005993,2.0814766695751246,2.8375870155306266,6.098271583264199,-1.1038298373100819,-7.001893283591135,0.7673641131372707,4.753799475710981,8.92735497566737,10.747650308191089,-10.527325841297898,4.60563343143434,-5.490993616002522,0.8387613888335331,6.1891857936532535,-4.280375139538117,88.0,70.0
2026-03,10,5,5,50.0,0.845273851546666,8.45273851546666,11.194537826689082,2.081760850350327,0.845273851546666,-0.2085692610473809,2.9202369306920923,0.4460957812991081,-2.543512422940715,-1.035104410601686,3.2286747201546264,4.943755344017192,5.800634420116925,-2.7246169115996155,3.253321677161491,-1.562773974068159,2.081760850350327,4.217555522585948,-3.6334411013448227,76.8,66.0
2026-04,9,6,3,66.66666666666666,-0.20812465308517325,-1.8731218777665593,0.6076268062672459,0.8117806952601659,-0.20812465308517325,0.5868935942158118,2.92021102327418,-1.792475065556934,-5.061045282866509,-0.7854388649876494,1.9031464405189362,2.2424468489169627,2.370392031362961,-6.972493509302239,1.3464472399560403,-3.317268439167601,0.40589034763008297,2.7788783027239767,-2.298790716008992,76.88888888888889,68.0
2026-05,10,5,5,50.0,0.061748627860663596,0.617486278606636,3.2808317049657254,1.082100876443956,0.061748627860663596,-0.03586439659614192,2.177592454461969,0.30368973723063747,-3.0042410277578435,-0.7870272543960413,1.011830260219854,3.2543960803140943,4.200606748154663,-3.151015749026568,1.6277108654947798,-1.5042136097734526,1.082100876443956,2.3781657216532697,-2.042178903429481,71.6,68.0
2026-06,9,6,3,66.66666666666666,1.6597287051964331,14.937558346767897,17.420075885485964,3.4999175413501566,1.6597287051964331,0.9226259873840572,4.794748872867987,1.8483776536962724,-3.2003724031808383,-0.0044048116695028505,2.252437918108455,9.047529523872722,13.120472163727344,-4.060230794942054,3.4854631281530786,-1.991740140716857,1.7499587706750783,4.197071560984818,-2.765764810047159,82.22222222222223,76.0
2026-07,12,5,7,41.66666666666667,-0.009771534552567204,-0.11725841463080644,3.002566506131224,0.9858359585321478,-0.009771534552567204,-0.7897573159996146,1.6813234433108624,1.1398879008349403,-1.5614574102803935,-1.2431307906767175,1.3434695390231348,2.5843060498645096,3.777275595334861,-1.7426502691181383,1.6322680478716698,-1.1826569505698796,1.3801703419450069,2.4974246498847443,-1.5995039834495135,65.0,60.0
2026-08,6,4,2,66.66666666666666,-3.7068911184322038,-22.241346710593223,-20.306835456873696,0.0831229486019518,-3.7068911184322038,0.14596995317715325,9.966586282543892,-2.430292075808366,-18.072544708763726,-0.16648304083126586,0.25247969396677294,1.163905295021788,1.4655939403147868,-24.016229459324894,0.5040933014529712,-12.128859958202556,0.0415614743009759,1.814591318268822,-5.572748745261538,111.33333333333333,122.0
