volatility_regime,trades,wins,losses,win_rate,expectancy,sum_net,sum_gross,profit_factor,mean,median,std,skew,p05,p25,p75,p95,best,worst,avg_win,avg_loss,payoff_ratio,mfe_mean,mae_mean,duration_mean_h,duration_median_h
HIGH,50,26,24,52.0,0.20335474042146204,10.167737021073101,24.451197026813446,1.1501364686977549,0.20335474042146204,0.08355061940228009,4.217039479478228,-1.043364018301163,-6.150155898598525,-1.3589922595972137,2.848189720479969,5.686411856505521,10.747650308191089,-15.608768974289971,2.995809093270963,-2.8218041418321635,1.0616644326440814,3.5043159980560783,-3.691505252912383,87.28,68.0
LOW,50,25,25,50.0,-0.705340354851076,-35.267017742553804,-21.093548288475628,0.5604206693387692,-0.705340354851076,-0.06385313278439884,4.69992457938901,-2.2424422916065514,-7.545818373061429,-1.3911003163667908,1.109395875824559,3.395047783522288,13.120472163727344,-24.016229459324894,1.7984799839550232,-3.2091606936571755,0.5604206693387692,2.6032075678230733,-3.103175674817271,84.64,70.0
