case,trades,sum_net,mean_net
all,100,-25.09928072148069,-0.2509928072148069
without_best_1,99,-38.21975288520803,-0.3860581099515963
without_worst_1,99,-1.0830512621557915,-0.01093991173894739
without_best_3,97,-55.60660212992694,-0.5732639394837828
without_worst_3,97,25.05304355343207,0.2582787995199182
without_best_5,95,-66.95404305102433,-0.7047794005370982
without_worst_5,95,42.434054916129774,0.44667426227505025
