trend_regime,trades,wins,losses,win_rate,expectancy,sum_net,sum_gross,profit_factor,mean,median,std,skew,p05,p25,p75,p95,best,worst,avg_win,avg_loss,payoff_ratio,mfe_mean,mae_mean,duration_mean_h,duration_median_h
DOWN,26,12,14,46.15384615384615,-0.10755640576705533,-2.7964665499434385,4.280869464156371,0.9034329925969962,-0.10755640576705533,-0.2654209633615831,3.043227962389178,-1.4085092407437294,-3.751385521647225,-1.3911003163667908,1.9398357664604164,3.5746604991950486,5.1885731203597905,-10.527325841297898,2.18019609030759,-2.0684871166881797,1.0540051580298289,2.601421486469675,-2.98886615642455,76.3076923076923,68.0
RANGE,50,27,23,54.0,0.28639784265684326,14.319892132842163,28.172722823699587,1.2205725004286765,0.28639784265684326,0.16309235366981806,4.437424467212988,-0.3492952443248153,-5.846269286130371,-1.019652393890612,2.253580633651955,6.261844904142915,13.120472163727344,-15.608768974289971,2.934865459535754,-2.8226728380270965,1.0397469448096133,3.590810961903924,-3.098897257747039,81.2,64.0
UP,24,12,12,50.0,-1.5259460960158087,-36.622706304379406,-29.09594354951814,0.3227050689045576,-1.5259460960158087,-0.06531009795112142,5.610714271658086,-3.064435984474812,-8.242794345918735,-1.8554559376418323,1.321656991115359,3.181104917525013,3.896458695450856,-24.016229459324894,1.454109627730346,-4.506001819761964,0.3227050689045575,2.424944647939578,-4.461610976337183,106.33333333333333,112.0
