scope,feature,winner_mean,loser_mean,standardized_difference,winner_higher_auc,first_half_difference,second_half_difference,direction_stable_halves
ALL,sqzmom_abs_pct_price,2.327624801004548,2.261270655928277,0.04085892252115181,0.5150060024009604,0.9095775913463746,-0.6743623742589775,False
ALL,sqzmom_delta_pct_price,-0.0028543019302526996,0.012524651829643876,-0.1548420470743316,0.48699479791916767,-0.02611692267240407,-0.005971017591582049,True
ALL,sqzmom_accel_pct_price,-0.011784635706843604,0.012626683863076787,-0.11848096923319626,0.48619447779111646,-0.08872585903569113,0.038205542374588786,False
ALL,sqzmom_slope3_pct_price,0.0030380159231690887,0.006211309898105393,-0.05058715908332559,0.4801920768307323,0.018246006845441566,-0.025073788778876373,False
ALL,sqzmom_slope6_pct_price,0.008975571808448999,-0.003407576573492217,0.05156922590283556,0.5018007202881153,0.050009156473718855,-0.02654337518878727,False
ALL,reversal_retracement,0.07426464272284596,0.08052154115174062,-0.03864923531381163,0.47058823529411764,-0.051465249853959,0.036335391723092254,False
ALL,prior_impulse_bars,13.803921568627452,15.346938775510203,-0.36817513855850564,0.40116046418567425,-0.175324675324676,-3.1494252873563227,True
ALL,prior_impulse_amplitude_pct_price,4.867028134700924,4.626551860381291,0.08143927050593848,0.5006002400960384,1.7474312913303018,-0.9197534599125903,False
ALL,return_3,-0.00018532069437335918,0.001613214592300653,-0.12176361296508159,0.4893957583033213,-0.003332262413255992,-0.0014342415967586526,True
ALL,return_6,0.0006776800899164215,-0.0004069001642824077,0.06904678889770212,0.5330132052821128,-0.0037532637862562265,0.0043904209520151125,False
ALL,return_12,-0.0045497813064846,-0.0016240517512311663,-0.14413746525914775,0.4965986394557823,-0.007960631427274434,0.0005701561454751867,False
ALL,return_24,-0.004265274323844923,-0.00500888260314947,0.022684807728147082,0.4957983193277311,-0.007151157857714186,0.007585294692243753,False
ALL,distance_sma20,-0.0009247559551757353,-0.0013091569031313628,0.02490366916312282,0.5130052020808323,-0.002458365284990466,0.002366206297889205,False
ALL,distance_sma50,-0.0030498993718658498,-0.005537125750817728,0.09694425707071916,0.5008163265306123,-0.010112307889106494,0.013120351318534902,False
ALL,sma20_slope5,-0.0004322903353688304,-0.001454720252575131,0.11377571827091226,0.5302120848339336,0.00010018199205772034,0.0019408705600657574,True
ALL,range_position20,0.51933218565135,0.4969543835253126,0.09710602347556606,0.529811924769908,0.02441230750664758,0.005065271447995068,True
ALL,range_position50,0.5132268093896902,0.5079682554894003,0.022949158190188765,0.5,-0.05868681655601421,0.0642407522437986,False
ALL,atr_pct,1.303754840617167,1.2522030360281968,0.12389075468007076,0.5558223289315727,0.16694037799441053,-0.011713726412400316,False
ALL,realized_vol12,2.666645175758978,2.9417293290877082,-0.230756096510001,0.44017607042817125,-0.20011348433925802,-0.2870062344023938,True
ALL,realized_vol24,4.1944224837494986,3.9564672925835622,0.16336967645843137,0.5378151260504201,0.7755783864882808,-0.10408539829094643,False
ALL,range_pct,1.2763608540684839,1.463328458692435,-0.21893334427995634,0.43137254901960786,-0.019887970966631308,-0.3255073345845443,True
ALL,atr_expansion,0.9395391620955251,1.0289561489136307,-0.6897413516424883,0.3045218087234894,-0.1109580001641316,-0.0764136385175116,True
ALL,bars_since_release,13.72549019607843,13.877551020408163,-0.012343418779820356,0.47118847539015607,-2.516233766233766,2.6354679802955676,False
ALL,squeeze_on_last6,2.5098039215686274,2.0,0.19545368438321167,0.5692276910764306,-0.11363636363636376,1.4137931034482758,False
LONG,sqzmom_abs_pct_price,2.3646988694161832,2.5113320897682643,-0.08361196252189498,0.4928,0.6786692024771299,-0.889380487920838,False
LONG,sqzmom_delta_pct_price,0.06407100462444233,0.08810903453457376,-0.3217531470238957,0.4544,-0.011739306665387986,-0.03286323525782014,True
LONG,sqzmom_accel_pct_price,0.16871115984239882,0.17703255547071137,-0.08734820793215588,0.4704,-0.007922510018063378,-0.0013155901127720193,True
LONG,sqzmom_slope3_pct_price,-0.020284575296757354,-0.00040724320078223394,-0.3056554186991354,0.4352,-0.007778051656356443,-0.03220544020143389,True
LONG,sqzmom_slope6_pct_price,-0.2080991769713923,-0.18727433378904298,-0.17116877992202803,0.4432,-0.053108574453117036,-0.016585215240767087,True
LONG,reversal_retracement,0.04514686106279271,0.08488992208702002,-0.3006903062793743,0.5232,-0.02670227545523282,-0.05168571858167534,True
LONG,prior_impulse_bars,13.52,14.88,-0.34852704820070396,0.4248,-0.6666666666666661,-2.166666666666666,True
LONG,prior_impulse_amplitude_pct_price,4.849655967369233,4.469551761529503,0.13489846142706852,0.5008,1.67930330828258,-0.39392947397139233,False
LONG,return_3,0.008786670074047508,0.01263626719593053,-0.320342269994163,0.4592,-0.004391165988233487,-0.004529854404491182,True
LONG,return_6,0.004615610409353001,0.0015660816702009629,0.16378150842625092,0.5552,-0.0044673549490192276,0.006102882204127132,False
LONG,return_12,-0.01768879104758343,-0.012216280627214759,-0.28112000782871055,0.4736,-0.01859140993827569,0.003793467488736931,False
LONG,return_24,-0.014518325376413878,-0.018374006106716564,0.10757936705672372,0.504,-0.012727361645047076,0.019542385625133152,False
LONG,distance_sma20,-0.007416214213497554,-0.0074002278071444395,-0.0009224343874386667,0.5088,-0.007956888197036455,0.005983933243321327,False
LONG,distance_sma50,-0.0044406227565051415,-0.011402090557182326,0.2410305483082259,0.5344,-0.008703344613259922,0.021759227015971487,False
LONG,sma20_slope5,-0.005799771769941988,-0.007993227532065758,0.2737909295160773,0.568,-0.0019857338203790875,0.006093567156916947,False
LONG,range_position20,0.39184580959477033,0.4295581202036927,-0.17399617916643462,0.4736,-0.1035024978093792,-0.008242652727927624,True
LONG,range_position50,0.49775254870124264,0.4764295907505609,0.09717795191872514,0.5344,-0.05988476725625402,0.10864889638146397,False
LONG,atr_pct,1.3430798811968896,1.2677606198407851,0.17666587258626895,0.568,0.17862345753970055,0.046299725425803295,True
LONG,realized_vol12,3.032593707028815,3.092034223938,-0.046481505056243204,0.4992,0.4457924034973031,-0.47295154779528836,False
LONG,realized_vol24,4.222686397525094,4.072710788706588,0.11481340131745876,0.5408,0.5474829142526785,-0.0391471407842241,False
