squeeze_state,trades,wins,losses,win_rate,expectancy,sum_net,sum_gross,profit_factor,mean,median,std,skew,p05,p25,p75,p95,best,worst,avg_win,avg_loss,payoff_ratio,mfe_mean,mae_mean,duration_mean_h,duration_median_h
OFF,67,31,36,46.26865671641791,-0.6152662826448039,-41.22284093720186,-21.685779204643758,0.6263739310792636,-0.6152662826448039,-0.24149045708021746,4.572830810499182,-2.679514250430465,-8.018623610045235,-1.436176443484761,1.5502490556354593,4.4028066848812015,6.63919893652782,-24.016229459324894,2.229321624975778,-3.0647725364291936,0.727401984479145,2.906726496190346,-3.845102422243651,91.1044776119403,72.0
ON,33,20,13,60.60606060606061,0.48859273380973256,16.123560215721174,25.043427942981587,1.4285843592407081,0.48859273380973256,0.29094398368024166,4.210676092519228,0.7688926231737703,-5.655034916265903,-1.2159160066748682,2.0979163751756262,7.627144023864713,13.120472163727344,-8.914046280905474,2.687203282483575,-2.8938850333807937,0.9285798335064603,3.3522879711880122,-2.48824800291388,75.51515151515152,60.0
