trade_id,entry_signal_time,entry_signal_sqzmom,entry_signal_previous_color,entry_signal_current_color,entry_signal_ha_open,entry_signal_ha_high,entry_signal_ha_low,entry_signal_ha_close,entry_time,exit_signal_time,exit_signal_sqzmom,exit_signal_previous_color,exit_signal_current_color,exit_signal_ha_open,exit_signal_ha_high,exit_signal_ha_low,exit_signal_ha_close,exit_time,signal,entry_reference_price,entry_price,exit_reference_price,exit_price,pnl_bruto,commission_pct,funding_cycles,funding_cost_pct,total_fees,slippage_cost,pnl_neto,pnl_pct,max_favorable_pct,max_adverse_pct,duration_candles,duration_hours,result,sqzmom,sqzmom_abs_pct_price,sqzmom_delta,sqzmom_delta_pct_price,sqzmom_acceleration,sqzmom_accel_pct_price,sqzmom_slope3_pct_price,sqzmom_slope6_pct_price,sqzmom_recent_extreme,reversal_retracement,prior_impulse_bars,prior_impulse_amplitude_pct_price,return_3,return_6,return_12,return_24,distance_sma20,distance_sma50,sma20_slope5,range_position20,range_position50,atr_pct,ha_atr_pct,range_pct,realized_vol12,realized_vol24,atr_expansion,squeeze_state,previous_squeeze_state,bars_since_release,squeeze_on_last6,trend_regime,with_trend,exit_month,entry_month,outcome_return_1bar,outcome_return_2bar,outcome_return_3bar,outcome_return_6bar,outcome_return_12bar,outcome_return_18bar,outcome_mfe_to_net_giveback,duration_bucket,volatility_regime
1,2025-09-04 00:00:00+00:00,2510.572105817522,dark_green,light_green,111828.07081525461,112136.8,111081.1,111496.17499999999,2025-09-04 04:00:00+00:00,2025-09-07 04:00:00+00:00,-830.0225267857161,dark_red,light_red,110318.41121081507,110880.8,110318.41121081507,110646.45,2025-09-07 08:00:00+00:00,SHORT,111107.1,111051.54645000001,110710.8,110766.1554,0.3566828762518353,0.0798972041149815,9.0,0.09000000000000001,0.1698972041149815,0.09969316370559855,0.08709250843125527,0.08709250843125527,1.605062249900801,-2.064584981742948,19.0,76.0,WIN,2510.572105817522,2.2595964666682162,-28.382839266096653,-0.025545477531225862,-93.04051785714319,-0.08373948906698418,0.01632426700226626,0.1154462474231078,2538.9549450836184,0.011178945621329995,6,0.939883262034561,-0.009463432725379528,0.0010397173842728868,0.007445187965834377,0.017693546348353406,0.008030157318865694,,0.006689817433237044,0.7309229412537306,,1.0258881026094666,1.1129919026324187,0.950164300931261,1.6046345223140115,2.8280956352016684,0.967519988126707,OFF,OFF,5,0,RANGE,False,2025-09,2025-09,0.5711279763992883,0.2590206613012125,1.4439658890495477,-0.19392215316600403,0.015800275242372486,0.4247995323616749,1.5179697414695457,3-5d,LOW
2,2025-09-07 04:00:00+00:00,-830.0225267857161,dark_red,light_red,110318.41121081507,110880.8,110318.41121081507,110646.45,2025-09-07 08:00:00+00:00,2025-09-09 16:00:00+00:00,907.4819374999996,dark_green,light_green,112062.81640354038,112062.81640354038,110738.6,111038.25,2025-09-09 20:00:00+00:00,LONG,110710.8,110766.1554,111242.4,111186.7788,0.4801699563186168,0.08015189600053592,7.0,0.06999999999999999,0.1501518960005359,0.10042995497882423,0.22958810533925667,0.22958810533925667,2.2315883322605568,-0.1802494627343573,15.0,60.0,WIN,-830.0225267857161,0.7497213702599169,63.30206249999969,0.05717785663187303,65.70560714285693,0.05934886853211876,0.027503422365813525,-0.08893708188084493,-893.3245892857158,0.07086121132142432,10,1.445445516284641,0.006583523280542236,-0.0006237593642889339,-0.01939147972411015,-0.0029781658208867245,-0.0006962851732777997,0.0055989046199556025,-0.0029988433797609737,0.35377404789948913,0.5705876597965043,0.8699915099032054,0.9907015152349208,0.42127777958429413,2.0935373552409398,3.3042850790310574,0.8195656041265319,ON,ON,24,6,RANGE,False,2025-09,2025-09,0.436364879014306,0.4604697149215964,0.40702378661776617,0.4245381617713706,1.9716713937694363,,2.0020002269213,48-72h,LOW
3,2025-09-09 16:00:00+00:00,907.4819374999996,dark_green,light_green,112062.81640354038,112062.81640354038,110738.6,111038.25,2025-09-09 20:00:00+00:00,2025-09-16 04:00:00+00:00,-760.4043132741758,dark_red,light_red,115211.66314684888,115968.0,114867.0,115471.29999999999,2025-09-16 08:00:00+00:00,SHORT,111242.4,111186.7788,115799.4,115857.29969999999,-4.096459623309098,0.08168024326287975,19.0,0.19,0.27168024326287976,0.10414853389024348,-4.472288400462221,-4.472288400462221,0.29767819840824195,-5.012395592487471,39.0,156.0,LOSS,907.4819374999996,0.8157705634457393,-143.3400178571411,-0.12885387829732134,-145.24400892857,-0.13056544940959508,-0.06357115359252354,0.08577054321962083,1050.8219553571407,0.13640752091863595,9,1.4803353965687007,-0.015119951199689119,-0.0072172492882705,0.0002274832085022993,-0.0027592982883923867,-0.000757859729389132,0.002192146388668492,0.0019646132017847595,0.41095041322314135,0.6463839308244875,0.8646670979019428,0.9974543954355488,0.5424195652193402,2.2844894954063326,2.5735969413874686,1.0396343616750878,OFF,OFF,5,0,UP,False,2025-09,2025-09,-0.2816172960305119,-0.2807179085216882,-1.1811846823644112,-2.103146817668211,-2.863399078883999,-4.833597355731656,4.769966598870464,>5d,LOW
4,2025-09-16 04:00:00+00:00,-760.4043132741758,dark_red,light_red,115211.66314684888,115968.0,114867.0,115471.29999999999,2025-09-16 08:00:00+00:00,2025-09-17 16:00:00+00:00,540.5760787339841,dark_green,light_green,116293.83899052118,116316.0,114623.3,115588.0,2025-09-17 20:00:00+00:00,LONG,115799.4,115857.29969999999,115587.5,115529.70625,-0.1829888583187773,0.07988689760564133,4.0,0.04,0.11988689760564133,0.099767127577885,-0.4026428835023036,-0.4026428835023036,1.2162378232953117,-1.0852140549241445,9.0,36.0,LOSS,-760.4043132741758,0.6566565226367114,67.71768589338558,0.0584784428014183,110.93058928571463,0.09579547846164543,0.0105807035705955,-0.09653109991483241,-828.1219991675614,0.08177259626172985,19,2.8220171440376287,0.004795798925262051,0.0002582718246169069,0.00046135503602706684,0.006522438265434749,0.002366089623678347,0.014286358697484847,-0.0004890010453564297,0.6033286528454603,0.8449155552685115,0.6786076836316698,0.7419759322472079,0.9507821284048104,1.2810568710954493,1.9475490873394796,1.0160582864358714,ON,ON,31,6,RANGE,False,2025-09,2025-09,-0.5481740914422439,0.017780752747853512,0.777422141144557,1.0903070443303298,,,1.6188807067976154,24-48h,LOW
5,2025-09-17 16:00:00+00:00,540.5760787339841,dark_green,light_green,116293.83899052118,116316.0,114623.3,115588.0,2025-09-17 20:00:00+00:00,2025-09-21 12:00:00+00:00,-1227.1861517857128,dark_red,light_red,115624.47037296163,115703.9,115413.0,115536.82500000001,2025-09-21 16:00:00+00:00,SHORT,115587.5,115529.70625,115471.0,115528.7355,0.10078944522547853,0.07999966389596876,11.0,0.11,0.18999966389596876,0.09994918514734154,-0.18915940381783178,-0.18915940381783178,0.41530985023170935,-2.0302083560434863,23.0,92.0,LOSS,540.5760787339841,0.46767653168158524,-13.581889610325902,-0.01175029986808784,-51.68846428570987,-0.04471800114000971,0.010608700701917,0.12094575665382123,839.8322303903219,0.3563284913669662,9,1.1958721934808503,-0.013088229643828275,-0.010024152520598073,0.002958002268177884,-0.001415101674796082,-0.0010493995606650763,0.005779379300374865,0.0010023516962422985,0.42661976160388276,0.7437533389300178,0.8038418698926504,0.8842839348486163,1.4644304406354982,1.7298311188555606,2.0648873381763893,1.1706348760441958,ON,ON,40,6,UP,False,2025-09,2025-09,-0.7554712794918039,-1.7324494408986535,-1.3017377078287096,-1.6214823103127163,0.38717855737645523,-0.09252490417372972,0.6044692540495411,3-5d,LOW
6,2025-09-21 12:00:00+00:00,-1227.1861517857128,dark_red,light_red,115624.47037296163,115703.9,115413.0,115536.82500000001,2025-09-21 16:00:00+00:00,2025-09-30 12:00:00+00:00,3237.271016896474,dark_green,light_green,113613.95434688876,113623.8,112800.1,113120.75,2025-09-30 16:00:00+00:00,LONG,115471.0,115528.7355,113055.4,112998.8723,-2.091953823903842,0.07912407482379136,27.0,0.27,0.3491240748237914,0.09785911661777602,-2.5389370153454096,-2.5389370153454096,0.07899722922181969,-6.026842992668257,54.0,216.0,LOSS,-1227.1861517857128,1.0627647539390486,0.21878571429101612,0.00018947226993682064,49.57874107143539,0.042936060253548625,-0.021278557856837688,-0.09656898380386275,-1227.4049375000038,0.0001782506388939921,16,2.1991174167636616,-0.0012342817206941747,-0.003945535394661359,-0.0030718252841092086,-0.003056332349378521,-0.005544336780953452,-0.004184455190598735,-0.0018644948095868363,0.14908151346760032,0.32024203353408737,0.5363592186879257,0.5927750730516206,0.2519245075174603,1.0128691124826827,1.8592926087919965,0.7399966148728763,OFF,OFF,5,0,RANGE,False,2025-09,2025-09,-0.07594257793983594,-0.29848461381281055,-0.8013897979520457,-2.3890467493258405,-2.3371981769851446,-1.929247723827121,2.617934244567229,>5d,LOW
7,2025-09-30 12:00:00+00:00,3237.271016896474,dark_green,light_green,113613.95434688876,113623.8,112800.1,113120.75,2025-09-30 16:00:00+00:00,2025-10-08 12:00:00+00:00,-1547.802055768463,dark_red,light_red,121929.78055024697,123312.9,121607.8,122471.65,2025-10-08 16:00:00+00:00,SHORT,113055.4,112998.8723,122140.1,122201.17005,-8.035617935985377,0.0832574830395011,24.0,0.24000000000000002,0.32325748303950114,0.1080896627673571,-8.466965081792235,-8.466965081792235,0.22590694473682538,-11.69005268028679,48.0,192.0,LOSS,3237.271016896474,2.8634377631643195,-48.17117019382613,-0.042608464694146524,-86.93883928571267,-0.07689932483164243,-0.0041588022783249886,0.18623970399129272,3285.4421870903,0.014662005127683638,17,5.012588256964749,-0.011074907169692505,-0.006123848371896834,0.027869806346031423,0.03743393040669507,0.013917266778217696,0.014529813870624242,0.009854185353653344,0.6980668385801554,0.7201475777991649,0.7523631240580284,0.9874346532510618,0.7285808550498225,2.4400364485020383,2.5497286285673737,1.0472330365760383,OFF,OFF,9,0,UP,False,2025-10,2025-09,-1.1595051112735844,-0.8760509550677975,-1.0062292453514976,-3.8651073334649455,-6.085217984958602,-8.176743282419462,8.692872026529061,>5d,LOW
8,2025-10-08 12:00:00+00:00,-1547.802055768463,dark_red,light_red,121929.78055024697,123312.9,121607.8,122471.65,2025-10-08 16:00:00+00:00,2025-10-14 04:00:00+00:00,3196.543533042104,dark_green,light_green,114679.75614006403,114679.75614006403,111302.0,112521.5,2025-10-14 08:00:00+00:00,LONG,122140.1,122201.17005,111665.2,111609.3674,-8.576135110418289,0.07653299468551203,17.0,0.17,0.24653299468551204,0.09137817580167251,-8.914046280905474,-8.914046280905474,1.6116293724472444,-16.926736496497234,34.0,136.0,LOSS,-1547.802055768463,1.2672349668687541,10.670094640321622,0.00873594719532866,168.640438139887,0.13807131166577316,-0.06029970863755806,-0.25978257460472115,-1558.4721504087847,0.006846509664945166,9,2.084168284605319,0.006651111691698297,0.002888619021695904,-0.02245846612381963,0.0032469559274810322,-0.00827360908132857,0.01089979840949673,-0.0021467860777685255,0.2853052261747924,0.7007032928228824,1.121079874876632,1.2863067408964057,1.3960198165876654,2.7044944649163636,3.5540457192792627,1.0829078165116477,ON,ON,9,6,RANGE,False,2025-10,2025-10,0.9661363712941018,0.8480523955507024,-0.17411457673682795,-0.917969974870958,-2.647986143402725,-8.557013034917338,10.525675653352717,>5d,LOW
9,2025-10-14 04:00:00+00:00,3196.543533042104,dark_green,light_green,114679.75614006403,114679.75614006403,111302.0,112521.5,2025-10-14 08:00:00+00:00,2025-10-17 04:00:00+00:00,-3485.1204548855894,dark_red,light_red,108645.60920450646,109182.9,105457.4,107335.12499999999,2025-10-17 08:00:00+00:00,SHORT,111665.2,111609.3674,105578.3,105631.08915,5.451026819456728,0.0778574277807438,9.0,0.09000000000000001,0.1678574277807438,0.09459627131619364,5.1885731203597905,5.1885731203597905,5.51205292469027,-1.7621572864501363,18.0,72.0,WIN,3196.543533042104,2.8626138967575434,-142.1937631570736,-0.12733937086672803,-791.9215256854031,-0.7091927706083929,0.22725701443746887,0.6478385725395915,3338.7372961991778,0.042589083998596455,12,7.583443658670776,-0.035094783740298285,-0.031874855321189166,0.001805067106868563,-0.07627758691859532,-0.011339319619573796,-0.05660560673241677,-0.008975869732883113,0.33757604117922274,0.41101166369674375,1.733648892189429,2.0829025225363376,2.127699587696072,3.418819730651042,6.058078343924458,0.8688346134467172,OFF,ON,0,2,DOWN,True,2025-10,2025-10,0.32969221900635004,-1.087393135784409,-0.8373245201280355,-0.8197632701572033,0.9776665036451138,5.4037286837986365,0.3234798043304794,3-5d,HIGH
10,2025-10-17 04:00:00+00:00,-3485.1204548855894,dark_red,light_red,108645.60920450646,109182.9,105457.4,107335.12499999999,2025-10-17 08:00:00+00:00,2025-10-21 00:00:00+00:00,3342.538557493926,dark_green,light_green,110706.54317826442,110706.54317826442,109005.0,109741.55,2025-10-21 04:00:00+00:00,LONG,105578.3,105631.08915,109005.1,108950.59745000002,3.2457427331184565,0.08125701943498329,11.0,0.11,0.1912570194349833,0.10319414566027652,2.951291568023197,2.951291568023197,5.69804865067038,-2.0458836194817365,23.0,92.0,WIN,-3485.1204548855894,3.300981787815857,29.53328038546624,0.02797286978997222,84.82352568539591,0.08034181804915963,-0.012198039234608184,-0.19788882487387655,-3514.6537352710557,0.008402899007969726,18,6.491287538698988,-0.02379074500260281,-0.04469761541537953,-0.06172888878224525,-0.08464761660353537,-0.04726302993463305,-0.0725434660232449,-0.015596923414759267,0.012208668255443783,0.18276966828056668,1.8384278185780552,2.104291114638178,3.528660719106104,4.4237335947639576,5.508544497922985,1.0282759499863603,OFF,OFF,7,0,DOWN,False,2025-10,2025-10,-0.019491562726159373,1.0593574855703336,0.7434467033515357,0.9629843431373963,1.0434530769959371,5.202171911904396,2.746757082647183,3-5d,HIGH
