side,dimension,group,n,win_rate,expectancy,profit_factor,average_pnl,median_pnl,average_win,average_loss,payoff_ratio,mean_mfe,mean_mae,loss_lt_3_rate,loss_lt_5_rate,best_trade,worst_trade,mean_duration_hours
ALL,alignment,ALIGNED,44,50.0,-0.20370899829177277,0.8628346663939207,-0.20370899829177277,0.02706719812304305,2.5628514284418467,-2.9702694250253923,0.8628346663939206,3.1380606462558958,-3.2736863466904738,15.909090909090908,9.090909090909092,13.120472163727344,-15.608768974289973,80.81818181818181
ALL,alignment,COUNTER,56,51.78571428571429,-0.2881443713686195,0.8046629938089256,-0.2881443713686195,0.1455206217941453,2.292079468903448,-3.059495903512692,0.7491689942358962,2.987526961762467,-3.494497270216104,10.714285714285714,7.142857142857142,6.63919893652782,-24.016229459324894,90.0
ALL,adx_band,HIGH,34,47.05882352941176,0.07127712948709021,1.0570602678790115,0.07127712948709021,-0.10092104090020165,2.805918668602879,-2.3595153497269443,1.1891928013638882,3.373223903045548,-3.7093995278293734,8.823529411764707,8.823529411764707,13.120472163727344,-10.527325841297898,87.05882352941177
ALL,adx_band,LOW,33,54.54545454545454,-0.3592024655106411,0.7578458822613103,-0.3592024655106411,0.2909439836802416,2.0609610325865226,-3.263398663227238,0.6315382352177586,2.7639149260827462,-3.4358615801696435,15.151515151515152,6.0606060606060606,5.800634420116925,-15.608768974289973,89.0909090909091
ALL,adx_band,MID,33,51.515151515151516,-0.474818841278503,0.7228196534185239,-0.474818841278503,0.061453138249034,2.403590514101008,-3.533128781369233,0.6803008502762579,3.0144658493841914,-3.03730394832381,15.151515151515152,9.090909090909092,10.747650308191089,-24.016229459324894,81.6969696969697
ALL,trend_adx_group,ALIGNED_HIGH,14,57.14285714285714,0.9443811537311981,2.028436641449465,0.9443811537311981,0.08355061940228005,3.2596372031143934,-2.1426269121130623,1.5213274810870987,4.241129953579761,-3.1038865313908275,7.142857142857142,7.142857142857142,13.120472163727344,-8.914046280905474,75.71428571428571
ALL,trend_adx_group,ALIGNED_LOW,17,47.05882352941176,-1.579947882595545,0.3354280541048824,-1.579947882595545,-1.062607330560808,1.69456828584035,-4.49062892120523,0.3773565608679927,2.0540757016506586,-4.296131037960787,29.411764705882355,11.76470588235294,3.664883832884696,-15.608768974289973,94.58823529411765
ALL,trend_adx_group,ALIGNED_MID,13,46.15384615384615,0.3595832251576533,1.3871447897684135,0.3595832251576533,-0.1891594038178317,2.791514585680446,-1.724929369576169,1.618335588063149,3.3676586274678146,-2.1195046284289125,7.6923076923076925,7.6923076923076925,10.747650308191089,-6.419972395723778,68.3076923076923
ALL,trend_adx_group,COUNTER_HIGH,20,40.0,-0.5398956874837854,0.6353967231558583,-0.5398956874837854,-0.4083954410281577,2.352200134091365,-2.4679595685338858,0.9530950847337872,2.7656896676716,-4.133258625336356,10.0,10.0,3.896458695450856,-10.527325841297898,95.0
ALL,trend_adx_group,COUNTER_LOW,16,62.5,0.9378395401420694,2.7580399146480343,0.9378395401420694,0.545579358599386,2.3540752299834606,-1.42255327626025,1.6548239487888206,3.5181191020418403,-2.521825281266554,0.0,0.0,5.800634420116925,-2.7246169115996155,83.25
ALL,trend_adx_group,COUNTER_MID,20,55.00000000000001,-1.0171801844620048,0.5423833145667641,-1.0171801844620048,0.14742691834387575,2.1919955659667685,-4.939506101652727,0.4437681664637161,2.784890543629836,-3.6338735062554925,20.0,10.0,6.63919893652782,-24.016229459324894,90.4
ALL,trend_adx_direction,ALIGNED_FALLING,32,46.875,-0.429420461808595,0.7326043448055578,-0.429420461808595,-0.09678210774366725,2.509901034579858,-3.022939429210171,0.8302849241129654,3.127347182372178,-3.7228407507114727,15.625,9.375,13.120472163727344,-15.608768974289973,83.875
ALL,trend_adx_direction,ALIGNED_RISING,12,58.333333333333336,0.39818823775308676,1.342381309612328,0.39818823775308676,1.0809928998308638,2.6763165581461084,-2.7911914107971443,0.9588437925802342,3.1666298832791457,-2.075941269301142,16.666666666666664,8.333333333333332,5.188573120359791,-5.14507659662732,72.66666666666667
ALL,trend_adx_direction,COUNTER_FALLING,37,54.054054054054056,-0.1806857636534775,0.8809112678090277,-0.1806857636534775,0.2295881053392566,2.4726187447154797,-3.3022204793816616,0.7487745776376736,3.2065247767103653,-3.006514031169458,8.108108108108109,8.108108108108109,6.63919893652782,-24.016229459324894,79.24324324324324
ALL,trend_adx_direction,COUNTER_RISING,19,47.368421052631575,-0.49740587060336994,0.6429468572315646,-0.49740587060336994,-0.1974372701309005,1.8908810782100436,-2.646864124535442,0.7143853969239607,2.5610575326534035,-4.444780419938521,15.789473684210526,5.263157894736842,3.896458695450856,-10.527325841297898,110.94736842105263
